t,z
0.9998323422204345,0.0
1.999664684440869,0.0
2.9994970266613032,0.0
3.999329368881738,0.0
4.999161711102172,0.0
5.9989940533226065,0.0
6.998826395543041,0.0
7.998658737763476,0.0
8.99849107998391,0.0
9.998323422204344,0.0
10.998155764424778,0.0
11.997988106645213,0.00999442724868155
12.997820448865648,0.016657378747802584
13.997652791086082,0.019512929390283023
14.997485133306517,0.023320330246923617
15.997317475526952,0.02141662981860332
16.997149817747385,0.020940704711523248
17.99698215996782,0.022844405139843545
18.996814502188254,0.020940704711523248
19.996646844408687,0.020464779604443175
20.996479186629124,0.020464779604443175
21.996311528849557,0.018561079176122878
22.996143871069993,0.015705528533642436
23.995976213290426,0.007138876606201107
24.995808555510862,0.0
25.995640897731295,0.0
26.99547323995173,0.0
27.995305582172165,0.0
28.995137924392598,0.0
29.994970266613034,0.0
30.994802608833467,0.0
31.994634951053904,0.0
32.99446729327433,0.0
33.99429963549477,0.0
34.994131977715206,0.0
35.99396431993564,0.0
36.99379666215607,0.0
37.99362900437651,0.0
38.993461346596945,0.0
39.993293688817374,0.0
40.99312603103781,0.0
41.99295837325825,0.0
