,PM10 [µg/m3],PM2.5 [µg/m3]
2024-01-29 20:00,23,23
2024-01-29 21:00,39,29
2024-01-29 22:00,53,37
2024-01-29 23:00,38,28
2024-01-29 24:00,35,35
2024-01-30 01:00,50,30
2024-01-30 02:00,66,51
2024-01-30 03:00,58,41
2024-01-30 04:00,55,38
2024-01-30 05:00,47,37
2024-01-30 06:00,62,38
2024-01-30 07:00,71,38
2024-01-30 08:00,78,41
2024-01-30 09:00,100,51
2024-01-30 10:00,67,25
2024-01-30 11:00,28,3
2024-01-30 12:00,13,6
2024-01-30 13:00,14,7
2024-01-30 14:00,7,4
2024-01-30 15:00,59,28
2024-01-30 16:00,68,25
2024-01-30 17:00,73,28
2024-01-30 18:00,61,29
2024-01-30 19:00,37,17
2024-01-30 20:00,27,14
2024-01-30 21:00,24,24
2024-01-30 22:00,38,21
2024-01-30 23:00,28,20
2024-01-30 24:00,22,22
2024-01-31 01:00,34,16
2024-01-31 02:00,34,22
2024-01-31 03:00,34,22
2024-01-31 04:00,43,26
2024-01-31 05:00,33,19
2024-01-31 06:00,55,34
2024-01-31 07:00,62,41
2024-01-31 08:00,102,56
2024-01-31 09:00,107,52
2024-01-31 10:00,117,60
2024-01-31 11:00,55,29
2024-01-31 12:00,25,10
2024-01-31 13:00,18,6
2024-01-31 14:00,27,4
2024-01-31 15:00,63,23
2024-01-31 16:00,78,29
2024-01-31 17:00,38,17
2024-01-31 18:00,48,32
2024-01-31 19:00,57,38
2024-01-31 20:00,37,28
2024-01-31 21:00,33,22
2024-01-31 22:00,25,20
2024-01-31 23:00,23,15
2024-01-31 24:00,23,17
