,PM10 [µg/m3],PM2.5 [µg/m3]
2023-01-31 01:00,49,38
2023-01-31 02:00,,66
2023-01-31 03:00,80,39
2023-01-31 04:00,57,31
2023-01-31 05:00,35,30
2023-01-31 06:00,53,27
2023-01-31 07:00,56,31
2023-01-31 08:00,48,35
2023-01-31 09:00,66,35
2023-01-31 10:00,,
2023-01-31 11:00,,
2023-01-31 12:00,98,35
2023-01-31 13:00,71,34
2023-01-31 14:00,76,37
2023-01-31 15:00,73,41
2023-01-31 16:00,89,39
2023-01-31 17:00,73,41
2023-01-31 18:00,63,40
2023-01-31 19:00,66,37
2023-01-31 20:00,85,47
2023-01-31 21:00,92,54
2023-01-31 22:00,105,43
2023-01-31 23:00,72,28
2023-01-31 24:00,57,27
2023-02-01 01:00,45,35
2023-02-01 02:00,55,34
2023-02-01 03:00,46,31
2023-02-01 04:00,56,27
2023-02-01 05:00,48,26
2023-02-01 06:00,57,32
2023-02-01 07:00,51,24
2023-02-01 08:00,41,31
2023-02-01 09:00,86,51
2023-02-01 10:00,105,62
2023-02-01 11:00,128,66
2023-02-01 12:00,128,60
2023-02-01 13:00,132,48
2023-02-01 14:00,113,49
2023-02-01 15:00,108,45
2023-02-01 16:00,94,36
2023-02-01 17:00,76,37
2023-02-01 18:00,72,37
2023-02-01 19:00,67,39
2023-02-01 20:00,72,43
2023-02-01 21:00,81,46
2023-02-01 22:00,101,27
2023-02-01 23:00,46,25
2023-02-01 24:00,42,26
